sampleID	feature-id	time_point	collection_status	species	depth	treatment	Transp_To	Tag#	Tag_Code	Tag_Code2	Tag_Color
USVI-31	USVI-31_S88	one	initial	O. faveolata	Shallow	Shallow	S	51	B51	B51F	Blue
USVI-33	USVI-33_S204	one	initial	O. faveolata	Shallow	Shallow	S	61	B61	B61F	Blue
USVI-34	USVI-34_S89	one	initial	O. faveolata	Shallow	Shallow	S	66	B66	B66F	Blue
USVI-35	USVI-35_S205	one	initial	O. faveolata	Shallow	Shallow	S	71	B71	B71F	Blue
USVI-36	USVI-36_S90	one	initial	O. faveolata	Shallow	Shallow	S	76	B76	B76F	Blue
USVI-37	USVI-37_S91	one	initial	O. faveolata	Shallow	Shallow	S	81	B81	B81F	Blue
USVI-38	USVI-38_S92	one	initial	O. faveolata	Shallow	Shallow	S	86	B86	B86F	Blue
USVI-39	USVI-39_S93	one	initial	O. faveolata	Shallow	Shallow	S	91	B91	B91F	Blue
USVI-4	USVI-4_S225	one	initial	O. faveolata	Shallow	Shallow	S	16	Y16	Y16F	Yellow
USVI-40	USVI-40_S206	one	initial	O. faveolata	Shallow	Shallow	S	96	B96	B96F	Blue
USVI-41	USVI-41_S207	one	initial	O. faveolata	Shallow	Shallow	S	1	O1	O1F	Orange
USVI-42	USVI-42_S94	one	initial	O. faveolata	Shallow	Shallow	S	6	O6	O6F	Orange
USVI-43	USVI-43_S95	one	initial	O. faveolata	Shallow	Shallow	S	11	O11	O11F	Orange
USVI-44	USVI-44_S96	one	initial	O. faveolata	Shallow	Shallow	S	16	O16	O16F	Orange
USVI-45	USVI-45_S97	one	initial	O. faveolata	Shallow	Shallow	S	21	O21	O21F	Orange
USVI-46	USVI-46_S98	one	initial	O. faveolata	Shallow	Shallow	S	26	O26	O26F	Orange
USVI-47	USVI-47_S208	one	initial	O. faveolata	Shallow	Shallow	S	31	O31	O31F	Orange
USVI-48	USVI-48_S209	one	initial	O. faveolata	Shallow	Shallow	S	36	O36	O36F	Orange
USVI-49	USVI-49_S210	one	initial	O. faveolata	Shallow	Shallow	S	41	O41	O41F	Orange
USVI-5	USVI-5_S190	one	initial	O. faveolata	Shallow	Shallow	S	21	Y21	Y21F	Yellow
USVI-50	USVI-50_S99	one	initial	O. faveolata	Shallow	Shallow	S	76	O76	O76F	Orange
USVI-51	USVI-51_S100	one	initial	O. franksi	Deep	Deep	D	1	Y1*	Y1K	Yellow
USVI-52	USVI-52_S101	one	initial	O. franksi	Deep	Deep	D	6	Y6*	Y6K	Yellow
USVI-53	USVI-53_S102	one	initial	O. franksi	Deep	Deep	D	11	Y11*	Y11K	Yellow
